dataset,model,seed,Recall@20,NDCG@20,error
ml-1m,DeepFM_on,0,0.0457824699212273,0.0339404331325731,
ml-1m,DeepFM_off,0,0.0472771370579758,0.0347525719618187,
ml-1m,WideDeep_on,0,0.0413201048168932,0.0312891149124187,
ml-1m,WideDeep_off,0,0.0459740157150651,0.0334947061539799,
ml-1m,LightGCN,0,0.1857107419322212,0.1733807277420493,
ml-1m,SVD,0,0.0236355573210397,0.0199796664742169,
ml-1m,DeepFM_on,1,0.0454653098976381,0.0324869702007638,
ml-1m,DeepFM_on,2,0.0420476401576372,0.0320271740254327,
ml-1m,DeepFM_on,3,0.0426211473941609,0.0322234335792603,
ml-1m,DeepFM_on,4,0.0449732469804541,0.0339450061471687,
ml-1m,DeepFM_off,1,0.0497196713036286,0.034915708932732,
ml-1m,DeepFM_off,2,0.0483118232760706,0.0355334385601925,
ml-1m,DeepFM_off,3,0.0425758940258333,0.0333181776963332,
ml-1m,DeepFM_off,4,0.0447435180584141,0.0336324877229574,
ml-1m,WideDeep_on,1,0.0404671268651551,0.0283434487123204,
ml-1m,WideDeep_on,2,0.0409042500728775,0.0305646768050519,
ml-1m,WideDeep_on,3,0.0320739061008686,0.0227160417268283,
ml-1m,WideDeep_on,4,0.0429474893125103,0.0320714277862296,
ml-1m,WideDeep_off,1,0.051111439865302,0.0358653246651611,
ml-1m,WideDeep_off,2,0.0491808054197539,0.0367103945756983,
ml-1m,WideDeep_off,3,0.0425884557548427,0.0327869265991262,
ml-1m,WideDeep_off,4,0.0463409942534406,0.0342173167932196,
ml-1m,LightGCN,1,0.1855817113471353,0.1731194071983058,
ml-1m,LightGCN,2,0.184720262134863,0.1735355152700906,
ml-1m,LightGCN,3,0.1847787387302175,0.1731347518159427,
ml-1m,LightGCN,4,0.1851142943160763,0.1734096754979008,
ml-1m,SVD,1,0.0230287391291093,0.0197537642557353,
ml-1m,SVD,2,0.0241533216324323,0.0207929858744356,
ml-1m,SVD,3,0.0236639243312419,0.020349934141595,
ml-1m,SVD,4,0.0231478038324122,0.0194762115347876,
