dataset,model,seed,Recall@20,NDCG@20,error
ml-1m,DeepFM_on,0,0.0457824699212273,0.0339404331325731,
ml-1m,DeepFM_off,0,0.0472771370579758,0.0347525719618187,
ml-1m,WideDeep_on,0,0.0413201048168932,0.0312891149124187,
ml-1m,WideDeep_off,0,0.0459740157150651,0.0334947061539799,
ml-1m,LightGCN,0,0.1857107419322212,0.1733807277420493,
ml-1m,SVD,0,0.0236355573210397,0.0199796664742169,
ml-1m,DeepFM_on,1,0.04546530989763818,0.03248697020076389,
ml-1m,DeepFM_on,2,0.04204764015763724,0.03202717402543273,
ml-1m,DeepFM_on,3,0.04262114739416091,0.03222343357926039,
ml-1m,DeepFM_on,4,0.044973246980454115,0.033945006147168735,
ml-1m,DeepFM_off,1,0.04971967130362869,0.034915708932732055,
ml-1m,DeepFM_off,2,0.048311823276070656,0.0355334385601925,
ml-1m,DeepFM_off,3,0.04257589402583337,0.033318177696333266,
ml-1m,DeepFM_off,4,0.04474351805841411,0.033632487722957426,
ml-1m,WideDeep_on,1,0.04046712686515511,0.0283434487123204,
ml-1m,WideDeep_on,2,0.04090425007287758,0.03056467680505195,
ml-1m,WideDeep_on,3,0.032073906100868695,0.022716041726828354,
ml-1m,WideDeep_on,4,0.04294748931251038,0.03207142778622964,
ml-1m,WideDeep_off,1,0.051111439865302075,0.03586532466516116,
ml-1m,WideDeep_off,2,0.049180805419753906,0.036710394575698316,
ml-1m,WideDeep_off,3,0.042588455754842706,0.032786926599126257,
ml-1m,WideDeep_off,4,0.04634099425344066,0.034217316793219654,
ml-1m,LightGCN,1,0.18558171134713536,0.17311940719830587,
ml-1m,LightGCN,2,0.184720262134863,0.17353551527009062,
ml-1m,LightGCN,3,0.18477873873021758,0.1731347518159427,
ml-1m,LightGCN,4,0.18511429431607634,0.17340967549790082,
ml-1m,SVD,1,0.023028739129109372,0.01975376425573534,
ml-1m,SVD,2,0.024153321632432327,0.02079298587443567,
