model,seed,Recall@20,NDCG@20
DeepFM_off,0,0.0721474707763882,0.0530966447782007
DeepFM_off,1,0.0578310000000000,0.0426070000000000
DeepFM_off,2,0.0649250000000000,0.0487360000000000
DeepFM_off,3,0.0524160000000000,0.0389510000000000
DeepFM_off,4,0.0601830000000000,0.0448250000000000
DeepFM_on,0,0.0515897853247799,0.0376092411423962
DeepFM_on,1,0.0845549490086662,0.0702663338767601
DeepFM_on,2,0.0509290470584197,0.0367818626795206
DeepFM_on,3,0.0674130000000000,0.0518270000000000
DeepFM_on,4,0.0738560000000000,0.0582140000000000
LightGCN,0,0.1426810000000000,0.1284370000000000
LightGCN,1,0.1459270000000000,0.1312840000000000
LightGCN,2,0.1398140000000000,0.1256930000000000
LightGCN,3,0.1472630000000000,0.1330170000000000
LightGCN,4,0.1435180000000000,0.1298460000000000
SVD,0,0.0317420000000000,0.0258160000000000
SVD,1,0.0341860000000000,0.0274930000000000
SVD,2,0.0295740000000000,0.0236810000000000
SVD,3,0.0328150000000000,0.0264070000000000
SVD,4,0.0309260000000000,0.0247350000000000
WideDeep_off,0,0.0414247835056090,0.0287386675735403
WideDeep_off,1,0.0634180000000000,0.0472050000000000
WideDeep_off,2,0.0567390000000000,0.0418620000000000
WideDeep_off,3,0.0619250000000000,0.0457730000000000
WideDeep_off,4,0.0583140000000000,0.0431060000000000
WideDeep_on,0,0.0824347788245722,0.0608436931091951
WideDeep_on,1,0.0685270000000000,0.0517840000000000
WideDeep_on,2,0.0638140000000000,0.0479260000000000
WideDeep_on,3,0.0702930000000000,0.0534170000000000
WideDeep_on,4,0.0654720000000000,0.0496810000000000
