,,Recall@20,Recall@20,Recall@20,NDCG@20,NDCG@20,NDCG@20
,,mean,std,count,mean,std,count
dataset,model,,,,,,
kuairec,DeepFM_off,0.06150049415527764,0.007463483833188985,5,0.04564312895564014,0.0054724937961694135,5
kuairec,DeepFM_on,0.06566855627837316,0.014510669114176216,5,0.05093968753973538,0.014189494438958896,5
kuairec,LightGCN,0.1438406,0.002903796532128244,5,0.1296554,0.002791690043683219,5
kuairec,SVD,0.0318486,0.0017630745304722667,5,0.0256264,0.0014755215349157053,5
kuairec,WideDeep_off,0.056364156701121805,0.008772213964323775,5,0.04133693351470806,0.007352456832676486,5
kuairec,WideDeep_on,0.07010815576491444,0.007341494978350938,5,0.052730338621839026,0.0049893315508411605,5
ml-1m,DeepFM_off,0.04652560874438448,0.002860659293006745,5,0.03443047697480676,0.0009259746248476148,5
ml-1m,DeepFM_on,0.04417796287022352,0.0017194571343863484,5,0.03292460341703972,0.0009436197895517901,5
ml-1m,LightGCN,0.18518114969210267,0.0004526972344303577,5,0.1733160155048578,0.00018210667615490344,5
ml-1m,SVD,0.02352586924924708,0.0004513477006914204,5,0.02007051245615408,0.0005152233298429294,5
ml-1m,WideDeep_off,0.04703914220168086,0.0032634661189819554,5,0.034614933757437016,0.0016362344550524867,5
ml-1m,WideDeep_on,0.039542575433660944,0.004279106916337546,5,0.02899694198856978,0.0037762770570925947,5
